director,entries,name
,,
,4 378 720 ,Bienvenue chez les Ch'tis
,3 906 694 ,Les Bronzés 3: Amis pour la vie
,3 801 235 ,Star Wars: Le Réveil de la Force
,3 685 097 ,Astérix et Obélix: Mission Cléopatre
,3 478 850 ,Taxi 2
,3 426 471 ,Avengers: Endgame
,3 303 005 ,La Revanche des Sith
,3 252 896 ,Le Roi Lion (2019)
,3 158 313 ,Les Aventures de Tintin : Le secret de la Licorne
,3 129 485 ,Harry Potter et les reliques de la mort - partie 2
,3 088 796 ,Harry Potter et la coupe de feu
,3 007 811 ,Asterix aux Jeux Olympiques
,2 882 397 ,Harry Potter et le Prince de sang-mêlé
,2 867 515 ,Spider-Man: No Way Home
,2 852 784 ,Le Seigneur des anneaux: Le Retour du roi
,2 830 489 ,La Vérité si je mens! 2
,,
,2 728 766 ,Harry Potter et la chambre des secrets
,2 718 443 ,Astérix et Obélix contre César
,2 709 377 ,"Pirates des Caraïbes, jusqu'au bout du monde"
,2 708 112 ,"Pirates des Caraïbes, le secret du coffre maudit"
,2 655 916 ,Les Visiteurs II - Les Couloirs du temps
,2 648 596 ,Avatar
,2 587 056 ,Rien à déclarer
,2 565 953 ,Avengers: Infinity War
,2 537 450 ,Harry Potter et les reliques de la mort - partie 1
,2 510 462 ,Star Wars: Les derniers Jedi
,2 503 699 ,Harry Potter et le prisonnier d'Azkaban
,2 486 291 ,Harry Potter et l'Ordre du Phénix
,2 429 906 ,La Ch’tite famille
,,
,2 420 710 ,Star Wars: L'Ascension de Skywalker
,2 409 923 ,Twilight - Chapitre 5 : Révélation 2e partie
,2 404 825 ,Le Seigneur des anneaux: Les Deux tours
,2 403 734 , L'Age de glace 3 - Le Temps des dinosaures 
,2 318 559 ,Twilight - Chapitre 2 : Tentation
,2 316 734 ,Harry Potter à l'école des sorciers
,2 257 203 ,La Menace fantôme
,2 256 688 ,Jurassic Park
,2 251 493 ,Taxi 3
,2 238 286 ,Shrek 2
,2 212 370 ,2012
,2 203 549 ,Spectre
,2 201 007 ,"Les Tuche 3 : Liberté, Égalité, FraterniTuche"
,2 180 461 ,Les Minions
,2 171 810 ,L'Age de glace 2
,2 158 508 ,Fast & Furious 7
,2 153 093 ,Qu'est-ce qu'on a encore fait au Bon Dieu ?
,2 151 921 ,Supercondriaque
,2 141 755 ,Men in Black II
,2 137 267 ,La Reine des neiges 2
,2 126 545 ,Intouchables
,2 121 172 ,Matrix Revolutions
,2 112 676 ,Matrix Reloaded
,2 100 789 ,Spider-Man 2
,2 087 959 ,Jurassic World
,2 081 638 ,Cinquante Nuances de Grey
